,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Temple ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Dawn Evans,39,.411,.350,.450,.200,0.0,9.3,4.5,13.8,0.0,0.0,24.3,34.9,77,104
1,Tarik Hislop,37,.613,.550,.200,.300,9.3,6.6,7.9,6.9,4.6,0.0,30.6,20.9,96,95
2,Jalissa Taylor,27,.504,.600,.000,.400,16.9,26.9,21.8,0.0,4.2,3.7,25.4,13.8,85,86
3,Sarah Williams,25,.000,.000,.571,.000,0.0,14.5,7.1,15.2,4.5,0.0,0.0,13.2,22,92
4,Nikki Newman,21,.750,.750,1.000,.000,10.9,17.3,14.0,29.9,5.4,0.0,0.0,4.5,194,89
6,Lauren Jimenez,22,.289,.364,.000,.545,15.6,5.5,10.7,0.0,0.0,0.0,0.0,29.3,75,105
7,Courtney Hamner,12,.500,.500,.500,.000,9.5,40.4,24.5,18.9,4.7,0.0,60.0,19.7,50,82
8,Kanita Shepherd,10,.500,.500,.000,.000,11.4,0.0,5.9,0.0,5.6,0.0,33.3,14.2,75,94
9,Kiara Francisco,7,,,,,16.3,17.3,16.8,0.0,0.0,0.0,100.0,6.8,21,101
10,School Totals,200,.401,.390,.305,.254,42.9,69.7,55.9,42.9,15.5,2.5,22.3,100.0,74.6,91.5
