,Penn State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Maggie Lucas,7,12,2,5,5,7,11,11,1,5,2,3,0,1,1,30,0.9166666666666666,2.0
1,Mia Nickson,4,11,4,11,0,0,6,6,3,7,1,1,0,1,3,14,0.5454545454545454,1.0
2,Zhaque Gray,4,11,3,5,1,6,1,2,0,2,1,1,0,1,2,10,0.09090909090909091,1.0
3,Alex Bentley,4,10,4,9,0,1,2,4,0,1,5,1,1,5,4,10,0.2,1.0
4,Nikki Greene,4,6,4,6,0,0,1,2,1,5,0,1,1,2,3,9,0.16666666666666666,0.0
9,School Totals,29,65,22,48,7,17,25,29,9,23,9,10,2,12,19,90,0.38461538461538464,0.75
