,Dayton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Andrea Hoover,5,9,2,4,3,5,3,5,2,3,2,0,0,2,4,16,0.3333333333333333,1.0
1,Patrice Lalor,2,6,2,2,0,4,0,0,0,3,3,0,1,2,5,4,0.0,1.5
2,Justine Raterman,6,14,4,7,2,7,0,0,1,7,1,0,0,2,1,14,0.0,0.5
3,Elle Queen,4,9,3,6,1,3,1,3,2,3,3,1,1,1,0,10,0.1111111111111111,3.0
4,Casey Nance,2,5,2,5,0,0,1,2,0,2,0,0,2,2,4,5,0.2,0.0
11,School Totals,21,59,13,31,8,28,5,10,7,21,16,2,5,12,18,55,0.0847457627118644,1.3333333333333333
