,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Elissa Cunane,40,.506,.400,.100,.600,10.3,27.3,20.5,31.6,0.0,2.5,32.2,24.7,100,84,
1,Kiara Leslie,39,.556,.524,.429,.238,14.1,14.0,14.0,7.4,1.6,0.0,7.9,34.2,129,92,
2,DD Rogers,38,.564,.600,.000,2.000,18.1,14.4,15.9,10.6,0.0,0.0,17.5,15.9,119,96,
3,Kai Crutchfield,37,1.111,1.125,1.000,.500,0.0,7.4,4.4,32.8,0.0,2.7,38.1,11.3,146,101,
4,Aislinn Konig,33,.422,.444,.667,.111,4.2,8.3,6.6,6.3,1.9,0.0,17.5,18.4,89,96,
6,Kayla Jones,12,1.500,1.500,1.000,.000,11.5,0.0,4.6,0.0,0.0,0.0,0.0,4.4,276,109,
7,Esra McGoldrick,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,109,
8,School Totals,200,.586,.560,.420,.480,48.3,68.2,60.3,69.6,3.2,5.0,19.6,100.0,114.3,90.5,
