,Iowa State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brynn Williamson,4,11,0,0,4,11,0,0,2,3,0,0,2,2,3,12,0.0,0.0
1,Jadda Buckley,3,12,1,3,2,9,2,2,0,0,4,1,0,2,3,10,0.16666666666666666,2.0
2,Seanna Johnson,1,8,1,5,0,3,0,0,3,6,0,4,0,3,1,2,0.0,0.0
3,Nikki Moody,1,11,0,4,1,7,0,0,0,3,5,1,1,7,5,3,0.0,0.7142857142857143
4,Hallie Christofferson,4,10,4,6,0,4,5,7,1,3,1,3,1,3,4,13,0.5,0.3333333333333333
7,School Totals,15,59,8,21,7,38,7,9,9,19,12,12,4,19,18,44,0.11864406779661017,0.631578947368421
