,Bucknell ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kate Walker,7,12,6,9,1,3,3,3,1,3,2,1,0,5,2,18,0.25,0.4
1,Ellie Mack,3,13,1,7,2,6,4,4,2,2,4,2,0,1,1,12,0.3076923076923077,4.0
2,Kyi English,1,4,1,3,0,1,1,2,1,0,4,1,0,2,1,3,0.25,2.0
3,Kaitlyn Slagus,4,11,2,4,2,7,3,4,0,4,1,0,0,1,4,13,0.2727272727272727,1.0
4,Abby Kapp,3,5,1,2,2,3,0,0,0,5,3,2,0,1,3,8,0.0,3.0
10,School Totals,22,51,14,28,8,23,15,17,5,16,14,6,1,12,18,67,0.29411764705882354,1.1666666666666667
