,Texas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brooke McCarty,2,9,1,5,1,4,0,0,1,4,2,0,0,0,1,5,0.0,0.0
1,Celina Rodrigo,2,4,0,1,2,3,1,2,0,3,6,3,1,1,1,7,0.25,6.0
2,Ariel Atkins,9,13,6,9,3,4,1,2,5,2,1,3,0,1,3,22,0.07692307692307693,1.0
3,Imani Boyette,3,10,3,10,0,0,0,0,5,5,0,1,2,3,2,6,0.0,0.0
4,Empress Davenport,1,9,0,3,1,6,1,2,0,5,5,0,0,3,4,4,0.1111111111111111,1.6666666666666667
13,School Totals,30,73,22,54,8,19,5,11,19,23,20,12,3,13,19,73,0.0684931506849315,1.5384615384615385
