,South Florida ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Elisa Pinzan,7,18,5,11,2,7,2,4,0,4,6,2,0,1,2,18,0.1111111111111111,6.0
1,Elena Tsineke,8,24,4,14,4,10,2,2,1,3,2,1,0,3,1,22,0.08333333333333333,0.6666666666666666
2,Sydni Harvey,2,6,1,2,1,4,5,7,3,3,0,0,0,3,1,10,0.8333333333333334,0.0
3,Shae Leverett,0,1,0,1,0,0,0,1,3,3,0,0,1,0,5,0,0.0,0.0
4,Bethy Mununga,0,1,0,1,0,0,2,2,4,5,0,0,1,1,5,2,2.0,0.0
10,School Totals,23,64,14,36,9,28,12,18,12,23,10,3,4,9,22,67,0.1875,1.1111111111111112
