,NC State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jakia Brown-Turner,7,12,5,8,2,4,3,3,0,4,2,0,0,4,4,19,0.25,0.5
1,Raina Perez,3,5,2,2,1,3,5,6,0,2,4,2,0,2,1,12,1.0,2.0
2,Elissa Cunane,3,15,3,13,0,2,6,7,0,11,3,0,1,1,2,12,0.4,3.0
3,Jada Boyd,6,11,6,10,0,1,6,9,3,7,0,0,0,2,2,18,0.5454545454545454,0.0
4,Kai Crutchfield,4,5,1,2,3,3,0,0,0,1,6,0,0,1,4,11,0.0,6.0
8,School Totals,25,53,19,39,6,14,23,29,4,28,15,2,2,11,17,79,0.4339622641509434,1.3636363636363635
