,Texas A&M ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jordan Nixon,16,28,14,21,2,7,1,1,1,1,7,1,1,3,3,35,0.03571428571428571,2.3333333333333335
1,Aaliyah Wilson,5,16,5,13,0,3,1,2,3,5,2,0,2,1,4,11,0.0625,2.0
2,N'dea Jones,4,9,4,9,0,0,1,2,6,8,1,0,4,0,4,9,0.1111111111111111,0.0
3,Ciera Johnson,8,12,8,12,0,0,3,5,2,6,1,1,3,0,2,19,0.25,0.0
4,Kayla Wells,2,8,1,5,1,3,2,2,1,1,2,0,1,2,3,7,0.25,1.0
9,School Totals,36,83,32,64,4,19,8,12,13,23,16,5,11,7,20,84,0.0963855421686747,2.2857142857142856
