,Iowa State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ashley Joens,9,23,5,16,4,7,10,11,3,15,3,1,0,5,2,32,0.43478260869565216,0.6
1,Lexi Donarski,6,14,2,6,4,8,2,2,2,1,3,0,0,3,3,18,0.14285714285714285,1.0
2,Emily Ryan,4,10,2,5,2,5,0,0,0,3,9,0,0,5,3,10,0.0,1.8
3,Kylie Feuerbach,2,6,0,2,2,4,0,0,0,7,1,0,0,3,1,6,0.0,0.3333333333333333
4,Kristin Scott,3,4,0,0,3,4,2,2,0,2,1,1,0,1,0,11,0.5,1.0
9,School Totals,26,64,10,34,16,30,14,15,10,35,20,3,1,21,12,82,0.21875,0.9523809523809523
