,Virginia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jocelyn Willoughby,3,13,2,10,1,3,6,6,2,4,2,1,1,0,3,13,0.46153846153846156,0.0
1,J'Kyra Brown,4,11,3,6,1,5,2,2,1,1,7,1,0,1,0,11,0.18181818181818182,7.0
2,Aliyah Huland El,4,10,1,4,3,6,1,2,0,1,1,0,0,1,0,12,0.1,1.0
3,Dominique Toussaint,4,9,2,6,2,3,0,0,0,3,3,2,0,2,4,10,0.0,1.5
4,Lauren Moses,1,8,1,7,0,1,0,0,3,2,3,3,2,0,3,2,0.0,0.0
8,School Totals,26,66,19,47,7,19,9,10,8,18,20,8,5,6,12,68,0.13636363636363635,3.3333333333333335
