,Green Bay ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Julie Wojta,6,20,6,18,0,2,4,4,4,4,2,10,0,4,3,16,0.2,0.5
1,Sarah Eichler,7,13,5,8,2,5,0,0,2,0,3,3,0,3,2,16,0.0,1.0
2,Adrian Ritchie,1,7,1,5,0,2,6,6,2,6,1,1,0,4,4,8,0.8571428571428571,0.25
3,Megan Lukan,1,5,1,5,0,0,3,5,0,1,6,4,0,8,4,5,0.6,0.75
4,Lydia Bauer,2,6,0,1,2,5,0,0,0,2,2,2,0,3,2,6,0.0,0.6666666666666666
7,School Totals,21,60,16,43,5,17,15,17,11,15,14,21,1,24,19,62,0.25,0.5833333333333334
