,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Tina Charles,38,.293,.308,.000,.385,5.0,21.1,13.3,14.2,1.6,13.7,16.5,24.7,60,61
1,Maya Moore,37,.564,.583,.278,.278,12.9,14.4,13.7,11.7,0.0,0.0,12.9,32.3,105,78
2,Caroline Doty,36,.364,.364,.727,.000,0.0,12.3,6.4,21.3,0.0,0.0,0.0,15.7,89,80
3,Kalana Greene,32,.438,.250,.000,1.500,6.0,8.3,7.2,7.0,1.8,2.7,13.1,12.3,97,78
4,Tiffany Hayes,30,.323,.313,.625,.750,3.2,5.9,4.6,8.2,2.0,0.0,22.0,23.4,59,81
6,Kelly Faris,25,.000,.000,.500,.000,0.0,24.9,12.9,8.4,4.7,0.0,0.0,8.2,14,57
7,Kaili McLaren,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,91
8,School Totals,200,.387,.379,.345,.379,23.8,71.1,48.3,47.4,7.4,15.2,12.7,100.0,77.9,69.1
