,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Connecticut ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Kayla Pedersen,40,.538,.500,.385,.154,8.9,31.0,19.5,23.1,1.5,0.0,0.0,17.4,129,70
1,Nnemkadi Ogwumike,38,.368,.357,.000,.143,2.3,30.1,15.7,0.0,0.0,0.0,6.3,21.0,77,74
2,Jeanette Pohlen,33,.688,.688,.625,.000,2.7,2.9,2.8,18.4,0.0,0.0,11.1,13.7,127,87
3,Jayne Appel,30,.000,.000,.000,.000,11.9,9.5,10.7,14.8,0.0,0.0,20.0,25.1,16,84
4,Rosalyn Gold-Onwude,11,.000,.000,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,18.2,0,91
6,JJ Hones,21,.167,.167,.667,.000,4.2,4.5,4.4,11.8,0.0,0.0,18.2,26.3,38,88
7,Melanie Murphy,15,.400,.400,.200,.000,0.0,12.7,6.1,21.1,0.0,0.0,28.6,23.4,62,85
8,Joslyn Tinkle,12,.375,.375,1.000,.000,14.8,0.0,7.7,45.5,4.9,8.8,0.0,16.7,111,73
9,Michelle Harrison,0,,,,,,,,,,,,,,
10,School Totals,200,.336,.324,.324,.059,28.9,76.2,51.7,61.1,2.9,2.6,12.5,100.0,69.1,77.9
