,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jewell Loyd,9,16,8,14,1,2,1,1,2,10,0,3,2,0,1,20,0.0625,0.0
1,Natalie Achonwa,10,13,10,13,0,0,3,5,5,2,6,2,5,8,0,23,0.23076923076923078,0.75
2,Kayla McBride,7,19,5,14,2,5,2,2,1,4,4,1,0,2,2,18,0.10526315789473684,2.0
3,Lindsay Allen,1,2,1,2,0,0,3,4,0,4,6,1,0,0,2,5,1.5,0.0
4,Ariel Braker,0,3,0,3,0,0,2,2,1,1,0,0,0,0,2,2,0.6666666666666666,0.0
12,School Totals,34,67,31,59,3,8,18,26,12,30,18,8,10,12,13,89,0.26865671641791045,1.5
