,North Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Cetera DeGraffenreid,2,14,2,11,0,3,7,8,2,0,6,4,0,2,4,11,0.5,3.0
1,Laura Broomfield,7,15,7,15,0,0,2,4,6,8,0,4,0,3,1,16,0.13333333333333333,0.0
2,Chay Shegog,9,10,9,10,0,0,1,4,2,7,2,1,1,1,3,19,0.1,2.0
3,Italee Lucas,7,18,5,12,2,6,0,0,0,4,1,2,0,3,1,16,0.0,0.3333333333333333
4,Tierra Ruffin-Pratt,1,7,1,6,0,1,0,0,1,4,4,0,1,0,2,2,0.0,0.0
10,School Totals,30,78,26,60,4,18,12,18,13,30,15,12,5,18,16,76,0.15384615384615385,0.8333333333333334
