,Michigan State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jenna Allen,5,12,5,10,0,2,2,3,0,5,1,0,2,3,3,12,0.16666666666666666,0.3333333333333333
1,Shay Colley,2,15,2,11,0,4,1,2,2,2,8,1,0,1,2,5,0.06666666666666667,8.0
2,Taryn McCutcheon,0,2,0,0,0,2,0,0,0,1,3,0,0,3,2,0,0.0,1.0
3,Nia Clouden,2,7,0,4,2,3,2,4,0,3,1,1,0,2,0,8,0.2857142857142857,0.5
4,Victoria Gaines,0,4,0,1,0,3,0,0,0,2,2,0,0,1,3,0,0.0,2.0
12,School Totals,25,67,20,48,5,19,8,13,9,25,18,6,4,16,16,63,0.11940298507462686,1.125
