,Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Rennia Davis,2,11,1,6,1,5,2,2,4,7,0,0,0,0,2,7,0.18181818181818182,0.0
1,Mercedes Russell,10,19,10,19,0,0,1,3,5,9,1,4,1,2,2,21,0.05263157894736842,0.5
2,Jaime Nared,3,14,1,8,2,6,1,2,2,2,5,0,0,1,2,9,0.07142857142857142,5.0
3,Meme Jackson,3,12,1,4,2,8,0,0,2,1,0,1,0,2,4,8,0.0,0.0
4,Evina Westbrook,2,7,2,6,0,1,0,0,1,1,3,2,0,0,3,4,0.0,0.0
8,School Totals,24,71,19,49,5,22,6,10,16,20,13,8,1,8,19,59,0.08450704225352113,1.625
