,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
,Unnamed: 0_level_1,1,2,3,4,OT,T
0,Mississippi State,22,14,12,12,6,66
1,UConn,13,15,20,12,4,64
