,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Gonzaga ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Cetera DeGraffenreid,38,.309,.143,.214,.571,5.4,0.0,2.7,22.6,4.8,0.0,10.2,19.8,85,97
1,Laura Broomfield,34,.473,.467,.000,.267,18.1,23.5,20.8,0.0,5.3,0.0,15.2,22.4,94,90
2,Chay Shegog,29,.798,.900,.000,.400,7.1,24.1,15.7,15.7,1.6,2.4,7.8,16.9,147,96
3,Italee Lucas,26,.444,.444,.333,.000,0.0,15.4,7.8,8.0,3.5,0.0,14.3,31.1,84,96
4,Tierra Ruffin-Pratt,24,.143,.143,.143,.000,4.3,16.7,10.5,23.5,0.0,2.9,0.0,11.2,68,101
6,She'la White,21,.417,.417,.833,.000,0.0,9.5,4.8,0.0,0.0,0.0,40.0,18.3,50,106
7,Trinity Bursey,12,.375,.375,.500,.000,8.5,16.7,12.7,25.0,3.8,0.0,33.3,19.2,71,95
8,Waltiea Rolle,10,.513,.000,.000,2.000,10.3,30.0,20.3,0.0,0.0,20.7,51.5,14.9,63,83
9,Krista Gross,4,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,19.2,0,109
10,Cierra Robertson-Warren,2,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,105,106
11,School Totals,200,.439,.410,.231,.231,33.3,75.0,54.4,50.0,13.6,8.6,17.2,100.0,86.4,93.2
