,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Vivian Frieson,37,.421,.421,.000,.000,8.1,27.7,17.8,11.9,1.2,5.4,17.4,26.3,81,85
1,Heather Bowman,37,.452,.467,.000,.067,5.4,8.3,6.8,7.6,3.7,1.8,6.1,18.8,96,90
2,Courtney Vandersloot,35,.452,.444,.444,.222,2.9,2.9,2.9,54.5,6.5,1.9,37.8,19.2,93,86
3,Tiffanie Shives,22,.849,.875,.750,.375,0.0,14.0,6.9,6.8,0.0,0.0,9.7,19.9,145,96
4,Janelle Bekkering,11,.333,.333,.333,.000,9.1,9.3,9.2,0.0,0.0,6.1,25.0,15.4,62,95
6,Katelan Redmon,27,.818,.818,.182,.000,3.7,11.4,7.5,6.1,0.0,0.0,21.4,21.9,116,97
7,Kelly Bowen,20,.440,.429,.429,.286,10.0,15.4,12.7,0.0,4.5,0.0,0.0,16.7,103,86
8,Kayla Standish,8,.000,.000,.333,.000,0.0,25.6,12.7,0.0,0.0,0.0,0.0,15.9,0,89
9,Tatriana Lorenzo,3,,,,,0.0,0.0,0.0,37.0,0.0,0.0,,0.0,217,103
10,School Totals,200,.520,.520,.227,.107,25.0,66.7,45.6,63.9,12.5,10.0,16.9,100.0,93.2,86.4
