,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Amber Harris,37,.660,.652,.087,.043,12.3,9.0,10.8,10.9,4.2,0.0,11.3,27.4,136,111
1,Special Jennings,36,.955,1.000,.600,1.200,0.0,6.2,2.8,14.1,2.8,3.4,11.6,9.2,184,113
2,Tyeasha Moss,35,.313,.267,.733,.133,0.0,3.2,1.4,28.1,4.4,0.0,0.0,17.4,130,112
3,Ta'Shia Phillips,30,.582,.533,.000,.667,39.4,29.6,35.0,0.0,0.0,20.2,9.3,27.3,138,103
4,April Phillips,24,.250,.250,.000,.000,15.2,32.4,22.9,25.5,4.3,0.0,38.5,20.8,67,99
6,Katie Rutan,17,.333,.333,1.000,.000,0.0,13.1,5.9,15.0,0.0,0.0,18.2,24.8,87,119
7,Dee Dee Jernigan,17,.357,.357,.143,.000,16.0,13.1,14.7,0.0,3.0,7.1,12.5,18.0,100,108
8,Alesia Barringer,4,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,125
9,School Totals,200,.516,.482,.317,.232,56.8,69.4,62.5,58.3,14.1,21.2,13.3,100.0,120.5,105.1
