,Iowa State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Nikki Moody,5,14,3,6,2,8,5,7,0,3,5,0,0,2,5,17,0.35714285714285715,2.5
1,Nicole (Kidd) Blaskowsky,4,10,1,2,3,8,0,0,1,5,0,1,0,2,2,11,0.0,0.0
2,Brynn Williamson,4,10,2,4,2,6,1,1,1,3,1,1,0,2,4,11,0.1,0.5
3,Seanna Johnson,5,8,5,8,0,0,2,2,0,6,0,0,0,3,3,12,0.25,0.0
4,Fallon Ellis,1,4,1,3,0,1,3,4,3,5,3,0,0,0,4,5,0.75,0.0
9,School Totals,23,60,16,32,7,28,13,18,5,26,12,3,1,12,20,66,0.21666666666666667,1.0
