,Connecticut ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Paige Bueckers,5,13,4,9,1,4,9,9,0,5,4,3,0,2,0,20,0.6923076923076923,2.0
1,Christyn Williams,4,9,1,3,3,6,0,0,0,2,2,1,0,1,3,11,0.0,2.0
2,Evina Westbrook,1,3,1,1,0,2,2,2,1,4,4,0,1,2,3,4,0.6666666666666666,2.0
3,Olivia Nelson-Ododa,7,11,7,11,0,0,3,5,2,6,2,1,1,0,4,17,0.2727272727272727,0.0
4,Aaliyah Edwards,5,5,5,5,0,0,9,12,2,3,4,1,1,2,2,19,1.8,2.0
10,School Totals,27,49,22,34,5,15,24,30,5,25,16,11,3,11,14,83,0.4897959183673469,1.4545454545454546
