,Texas A&M ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tyra White,5,12,4,10,1,2,0,0,1,3,1,2,2,1,1,11,0.0,1.0
1,Sydney Colson,3,8,1,4,2,4,1,2,1,4,5,2,0,3,2,9,0.125,1.6666666666666667
2,Danielle Adams,9,18,7,12,2,6,8,8,5,6,1,3,3,3,2,28,0.4444444444444444,0.3333333333333333
3,Sydney Carter,5,8,3,5,2,3,2,2,1,1,2,1,0,1,3,14,0.25,2.0
4,Adaora Elonu,0,1,0,1,0,0,3,4,2,2,2,0,2,3,3,3,3.0,0.6666666666666666
11,School Totals,24,52,17,37,7,15,15,18,12,21,13,10,9,14,13,70,0.28846153846153844,0.9285714285714286
