,Texas A&M ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sydney Carter,5,19,1,11,4,8,0,0,0,2,2,2,1,0,1,14,0.0,0.0
1,Tyra White,8,16,7,12,1,4,1,1,2,0,0,0,0,0,3,18,0.0625,0.0
2,Adaora Elonu,2,8,2,8,0,0,0,0,3,5,1,1,1,3,3,4,0.0,0.3333333333333333
3,Sydney Colson,1,5,0,2,1,3,4,4,1,3,6,4,0,6,3,7,0.8,1.0
4,Danielle Adams,5,12,4,8,1,4,5,5,2,4,0,0,2,0,4,16,0.4166666666666667,0.0
10,School Totals,23,65,16,45,7,20,10,10,8,14,10,7,5,12,19,63,0.15384615384615385,0.8333333333333334
