,Stanford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kayla Pedersen,2,6,2,5,0,1,0,0,0,10,4,0,4,2,3,4,0.0,2.0
1,Nnemkadi Ogwumike,10,15,10,15,0,0,11,14,3,4,0,1,1,1,3,31,0.7333333333333333,0.0
2,Jeanette Pohlen,4,8,1,4,3,4,0,1,0,5,4,1,1,7,1,11,0.0,0.5714285714285714
3,Chiney Ogwumike,2,7,2,7,0,0,0,2,2,2,0,0,1,1,5,4,0.0,0.0
4,Lindy La Rocque,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0
9,School Totals,23,46,20,40,3,6,13,19,5,25,13,8,8,21,18,62,0.2826086956521739,0.6190476190476191
