,Connecticut ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Moriah Jefferson,5,9,5,6,0,3,0,0,1,2,6,2,0,0,1,10,0.0,0.0
1,Kaleena Mosqueda-Lewis,9,18,2,8,7,10,2,2,2,3,2,3,0,4,0,27,0.1111111111111111,0.5
2,Morgan Tuck,9,15,9,13,0,2,5,7,6,2,3,1,0,2,3,23,0.3333333333333333,1.5
3,Breanna Stewart,8,18,7,14,1,4,6,8,4,12,1,1,4,2,2,23,0.3333333333333333,0.5
4,Kia Nurse,2,8,1,7,1,1,1,2,3,2,0,0,0,0,2,6,0.125,0.0
9,School Totals,34,69,25,49,9,20,14,19,16,22,13,7,5,9,10,91,0.2028985507246377,1.4444444444444444
