,Middle Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Anne Marie Lanning,4,11,2,4,2,7,5,6,2,3,1,2,0,3,2,15,0.45454545454545453,0.3333333333333333
1,Kortni Jones,1,11,0,2,1,9,0,0,1,6,1,3,0,5,3,3,0.0,0.2
2,Ebony Rowe,5,13,5,13,0,0,0,2,5,0,2,1,0,3,3,10,0.0,0.6666666666666666
3,Icelyn Elie,2,8,2,7,0,1,0,0,0,1,1,0,0,2,2,4,0.0,0.5
4,Lauren March,1,2,1,2,0,0,0,0,1,1,0,0,0,0,1,2,0.0,0.0
10,School Totals,16,56,13,36,3,20,6,10,10,16,7,6,0,17,18,41,0.10714285714285714,0.4117647058823529
