,Georgia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jasmine James,5,10,5,9,0,1,8,10,0,5,0,4,0,6,2,18,0.8,0.0
1,Porsha Phillips,5,8,5,8,0,0,0,0,4,10,2,1,3,3,1,10,0.0,0.6666666666666666
2,Meredith Mitchell,3,10,3,8,0,2,3,5,0,7,0,2,0,4,3,9,0.3,0.0
3,Jasmine Hassell,5,6,5,6,0,0,1,1,2,3,0,0,0,4,2,11,0.16666666666666666,0.0
4,Khaalidah Miller,0,4,0,2,0,2,0,0,0,1,2,1,0,2,4,0,0.0,1.0
9,School Totals,21,44,20,37,1,7,13,18,7,28,7,10,4,21,14,56,0.29545454545454547,0.3333333333333333
