,Oklahoma ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Peyton Little,2,9,1,3,1,6,0,0,0,0,1,0,0,0,4,5,0.0,0.0
1,Sharane Campbell-Olds,4,9,2,3,2,6,1,2,3,6,4,0,1,3,1,11,0.1111111111111111,1.3333333333333333
2,Gabbi Ortiz,5,7,1,1,4,6,2,2,1,2,3,2,0,1,0,16,0.2857142857142857,3.0
3,Gioya Carter,2,7,2,5,0,2,2,2,3,1,5,0,0,0,4,6,0.2857142857142857,0.0
4,Kaylon Williams,6,8,6,8,0,0,0,0,0,0,0,1,0,1,4,12,0.0,0.0
14,School Totals,40,72,27,43,13,29,18,24,14,29,27,5,2,13,25,111,0.25,2.076923076923077
