,George Washington ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brianna Cummings,6,12,6,12,0,0,2,2,2,3,1,3,1,3,2,14,0.16666666666666666,0.3333333333333333
1,Mei-Lyn Bautista,1,6,0,2,1,4,0,0,1,0,2,2,0,4,1,3,0.0,0.5
2,Neila Luma,5,14,5,14,0,0,2,4,2,5,0,0,0,1,5,12,0.14285714285714285,0.0
3,Camila Tapias,1,8,0,1,1,7,0,0,0,2,1,1,0,0,0,3,0.0,0.0
4,Kelsi Mahoney,1,8,0,1,1,7,0,0,0,1,0,2,0,0,3,3,0.0,0.0
9,School Totals,18,66,13,43,5,23,4,6,6,16,8,9,1,10,16,45,0.06060606060606061,0.8
