,Belmont ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kylee Smith,9,16,7,13,2,3,3,4,3,5,4,1,0,4,4,23,0.1875,1.0
1,Darby Maggard,5,13,0,1,5,12,0,0,0,1,2,1,0,1,2,15,0.0,2.0
2,Sally McCabe,5,14,3,11,2,3,4,5,5,7,1,0,4,3,3,16,0.2857142857142857,0.3333333333333333
3,Jenny Roy,0,4,0,2,0,2,0,0,1,2,4,0,0,3,5,0,0.0,1.3333333333333333
4,Lauren Thompson,4,6,4,6,0,0,0,0,1,1,1,0,0,1,2,8,0.0,1.0
9,School Totals,27,59,18,39,9,20,7,9,10,21,14,2,4,13,20,70,0.11864406779661017,1.0769230769230769
