,North Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Xylina McDaniel,6,14,5,11,1,3,1,2,3,6,0,0,0,0,2,14,0.07142857142857142,0.0
1,Allisha Gray,3,5,3,4,0,1,3,4,3,1,0,0,2,0,2,9,0.6,0.0
2,Brittany Rountree,1,2,0,0,1,2,2,2,1,2,2,1,0,0,1,5,1.0,0.0
3,Stephanie Mavunga,3,7,3,6,0,1,1,2,3,5,0,0,3,3,3,7,0.14285714285714285,0.0
4,Latifah Coleman,2,7,1,4,1,3,0,2,0,5,2,1,0,3,0,5,0.0,0.6666666666666666
10,School Totals,20,58,17,40,3,18,17,23,14,26,9,4,5,10,19,60,0.29310344827586204,0.9
