,Duke ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jasmine Thomas,5,8,4,5,1,3,2,2,0,5,4,2,0,0,0,13,0.25,0.0
1,Karima Christmas,5,9,5,7,0,2,3,3,2,3,3,3,0,1,0,13,0.3333333333333333,3.0
2,Keturah Jackson,6,6,5,5,1,1,0,0,1,2,3,0,0,0,2,13,0.0,0.0
3,Krystal Thomas,1,5,1,5,0,0,1,4,1,5,2,0,2,3,1,3,0.2,0.6666666666666666
4,Joy Cheek,1,5,1,4,0,1,1,2,1,3,1,0,0,2,2,3,0.2,0.5
11,School Totals,26,57,22,44,4,13,16,22,12,33,15,10,7,11,11,72,0.2807017543859649,1.3636363636363635
