,Hampton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Melanie Warner,3,13,2,9,1,4,1,2,1,5,3,1,3,6,3,8,0.07692307692307693,0.5
1,Quanneisha Perry,3,10,3,10,0,0,1,2,1,4,0,0,0,3,5,7,0.1,0.0
2,Bernadette Fortune,2,13,2,13,0,0,0,0,1,1,1,1,0,3,3,4,0.0,0.3333333333333333
3,Jericka Jenkins,1,7,1,2,0,5,0,0,1,5,0,0,0,2,2,2,0.0,0.0
4,Laura Lewis,1,5,1,3,0,2,0,0,1,2,0,2,1,1,2,2,0.0,0.0
10,School Totals,15,56,11,41,4,15,3,8,7,19,4,6,4,16,20,37,0.05357142857142857,0.25
