,Oregon State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sydney Wiese,4,13,4,6,0,7,0,1,1,5,6,1,0,0,3,8,0.0,0.0
1,Gabriella Hanson,2,6,0,1,2,5,0,2,1,1,2,0,0,1,0,6,0.0,2.0
2,Jamie Weisner,8,15,6,10,2,5,5,6,0,4,1,0,0,2,1,23,0.3333333333333333,0.5
3,Deven Hunter,3,5,1,2,2,3,3,4,2,3,2,1,0,2,3,11,0.6,1.0
4,Ruth Hamblin,1,6,1,6,0,0,2,4,7,9,0,0,2,1,2,4,0.3333333333333333,0.0
11,School Totals,25,60,17,34,8,26,11,19,15,28,14,2,5,7,11,69,0.18333333333333332,2.0
