,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Courtney Ward,36,.274,.300,.800,.200,0.0,10.4,6.0,47.4,1.7,0.0,52.4,17.0,63,95
1,Angel Gray,34,1.026,1.000,.000,2.000,4.9,0.0,2.1,16.8,3.6,0.0,68.0,9.2,81,97
2,Jacinta Monroe,33,.618,.583,.000,.167,15.2,0.0,6.5,0.0,0.0,9.4,7.2,22.5,129,101
3,Alysha Harvin,33,.577,.577,.538,.000,10.1,11.4,10.8,24.3,3.7,0.0,18.8,25.9,108,90
4,Chasity Clayton,23,.457,.400,.000,.200,0.0,27.2,15.5,0.0,0.0,3.4,26.9,34.5,72,88
6,Alexa Deluzio,26,.629,.571,.571,.286,6.4,19.2,13.7,8.7,2.4,0.0,11.3,18.2,131,89
7,Cierra Bravard,20,.401,.429,.000,.143,16.7,31.3,25.0,0.0,0.0,0.0,21.2,25.2,73,86
8,Christian Hunnicutt,16,.339,.000,.500,1.000,0.0,0.0,0.0,11.3,3.8,4.8,0.0,9.6,114,95
9,Chelsea Davis,4,.000,.000,.000,.000,83.3,0.0,35.7,0.0,0.0,0.0,0.0,13.3,80,105
10,School Totals,225,.518,.483,.276,.207,40.7,55.6,49.2,68.0,9.5,10.3,24.8,100.0,89.2,87.8
