,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Florida State ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Nadirah McKenith,44,.761,.714,.000,.857,8.5,11.4,9.7,32.5,0.0,0.0,38.4,18.1,107,101
1,Da'Shena Stevens,36,.393,.357,.000,.571,13.9,27.8,19.8,14.1,0.0,3.0,5.4,26.1,101,93
2,Shenneika Smith,34,.295,.250,.000,.125,14.7,9.8,12.6,7.1,5.4,3.2,10.6,28.2,78,88
3,Joy McCorvey,30,.828,.800,.000,1.200,4.2,5.6,4.8,0.0,4.1,0.0,28.2,18.0,122,94
4,Sky Lindsay,18,.500,.500,.000,.000,6.9,18.5,11.9,13.2,0.0,0.0,20.0,14.1,98,98
6,Kelly McManmon,31,.250,.250,.750,.000,4.0,0.0,2.3,6.4,2.0,0.0,0.0,6.6,87,101
7,Centhya Hart,22,.279,.250,.000,.250,11.4,7.6,9.7,0.0,2.8,0.0,10.1,22.8,72,96
8,Eugeneia McPherson,10,.250,.250,.250,.000,0.0,16.7,7.1,0.0,0.0,0.0,33.3,30.5,39,99
9,School Totals,225,.443,.387,.065,.387,44.4,59.3,50.8,45.8,9.5,4.8,17.9,100.0,87.8,89.2
