,Oregon ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sabrina Ionescu,5,9,3,4,2,5,0,0,2,3,8,0,0,4,2,12,0.0,2.0
1,Maite Cazorla,3,6,2,3,1,3,0,0,0,2,4,4,1,4,0,7,0.0,1.0
2,Satou Sabally,8,12,4,4,4,8,1,3,5,11,1,3,0,1,0,21,0.08333333333333333,1.0
3,Ruthy Hebard,9,13,9,13,0,0,4,4,3,8,0,4,0,1,3,22,0.3076923076923077,0.0
4,Erin Boley,2,9,1,3,1,6,2,2,2,1,2,1,0,0,2,7,0.2222222222222222,0.0
8,School Totals,29,63,21,40,8,23,12,15,19,28,17,16,2,12,8,78,0.19047619047619047,1.4166666666666667
