,Duke ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tricia Liston,4,8,1,3,3,5,4,4,1,4,1,2,0,0,2,15,0.5,0.0
1,Chelsea Gray,7,15,7,12,0,3,9,9,0,4,4,0,0,3,1,23,0.6,1.3333333333333333
2,Elizabeth Williams,5,14,5,14,0,0,2,2,2,1,2,1,1,1,4,12,0.14285714285714285,2.0
3,Haley Peters,2,7,2,7,0,0,0,0,5,4,2,0,0,4,5,4,0.0,0.5
4,Shay Selby,5,12,5,8,0,4,1,1,2,3,1,2,0,1,3,11,0.08333333333333333,1.0
8,School Totals,25,63,22,49,3,14,16,16,12,19,10,5,1,11,18,69,0.25396825396825395,0.9090909090909091
