,Green Bay ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Mehryn Kraker,8,16,3,7,5,9,0,0,0,1,2,1,0,1,2,21,0.0,2.0
1,Kaili Lukan,6,14,5,11,1,3,4,4,3,5,2,1,0,1,4,17,0.2857142857142857,2.0
2,Tesha Buck,6,21,5,12,1,9,1,2,0,2,6,1,0,2,1,14,0.047619047619047616,3.0
3,Megan Lukan,2,4,2,4,0,0,0,0,1,4,5,2,0,2,3,4,0.0,2.5
4,Lexi Weitzer,3,4,3,4,0,0,0,0,0,1,1,2,1,0,4,6,0.0,0.0
8,School Totals,27,66,19,39,8,27,8,10,5,14,17,8,2,6,21,70,0.12121212121212122,2.8333333333333335
