,Princeton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Blake Dietrick,2,8,0,2,2,6,5,6,0,3,5,1,0,4,2,11,0.625,1.25
1,Michelle Miller,7,12,3,8,4,4,2,2,2,5,2,0,0,2,0,20,0.16666666666666666,1.0
2,Annie Tarakchian,5,12,2,6,3,6,6,6,3,14,5,1,0,2,3,19,0.5,2.5
3,Alex Wheatley,6,15,6,15,0,0,3,4,6,4,2,0,0,3,3,15,0.2,0.6666666666666666
4,Amanda Berntsen,0,0,0,0,0,0,2,2,0,3,2,0,0,3,1,2,0.0,0.6666666666666666
8,School Totals,25,55,16,39,9,16,21,26,15,30,18,3,2,19,12,80,0.38181818181818183,0.9473684210526315
