,Washington ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Talia Walton,14,25,12,16,2,9,0,3,0,5,2,0,2,0,0,30,0.0,0.0
1,Kelsey Plum,8,19,6,12,2,7,5,9,2,4,7,2,1,4,4,23,0.2631578947368421,1.75
2,Alexus Atchley,2,5,0,2,2,3,0,0,1,2,1,2,0,1,4,6,0.0,1.0
3,Katie Collier,1,4,1,4,0,0,2,2,2,4,1,0,1,0,1,4,0.5,0.0
4,Chantel Osahor,7,12,3,4,4,8,1,2,0,17,5,0,0,2,3,19,0.08333333333333333,2.5
7,School Totals,33,67,22,39,11,28,8,16,5,33,16,4,4,7,13,85,0.11940298507462686,2.2857142857142856
