,Virginia Commonwealth ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sarah Te-Biasu,3,12,2,9,1,3,0,0,1,1,4,4,0,3,0,7,0.0,1.3333333333333333
1,Taya Robinson,1,11,0,8,1,3,3,4,3,3,1,0,0,2,2,6,0.2727272727272727,0.5
2,Tera Reed,1,8,1,8,0,0,1,2,2,7,1,0,0,4,2,3,0.125,0.25
3,Samantha Robinson,4,7,4,7,0,0,0,0,2,3,0,0,1,1,1,8,0.0,0.0
4,Chloe Bloom,4,9,4,9,0,0,0,0,1,4,1,0,0,0,2,8,0.0,0.0
12,School Totals,13,57,11,49,2,8,4,6,11,24,8,5,1,13,12,32,0.07017543859649122,0.6153846153846154
