,NC State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Aislinn Konig,5,9,3,3,2,6,0,0,0,5,2,1,0,0,1,12,0.0,0.0
1,Kaila Ealey,2,2,2,2,0,0,3,4,1,3,3,2,0,5,1,7,1.5,0.6
2,Kiara Leslie,5,8,3,4,2,4,1,2,1,3,2,1,0,2,2,13,0.125,1.0
3,Akela Maize,2,10,2,10,0,0,4,5,0,7,1,0,4,2,2,8,0.4,0.5
4,Chelsea Nelson,3,7,2,6,1,1,2,4,3,9,0,0,0,2,3,9,0.2857142857142857,0.0
12,School Totals,22,52,15,35,7,17,11,17,7,34,10,8,5,13,16,62,0.21153846153846154,0.7692307692307693
