,Missouri State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Mya Bhinhar,0,6,0,4,0,2,0,0,2,2,3,0,1,3,3,0,0.0,1.0
1,Brice Calip,5,13,5,13,0,0,5,6,2,3,3,3,0,4,2,15,0.38461538461538464,0.75
2,Abigayle Jackson,5,12,5,12,0,0,1,2,2,6,1,1,4,1,4,11,0.08333333333333333,1.0
3,Sydney Wilson,2,6,2,6,0,0,2,2,3,2,1,0,0,4,2,6,0.3333333333333333,0.25
4,Jennifer Ezeh,2,4,2,4,0,0,0,0,2,0,0,0,0,3,2,4,0.0,0.0
8,School Totals,21,63,19,59,2,4,12,17,18,28,10,5,6,21,20,56,0.19047619047619047,0.47619047619047616
