,Xavier ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Amber Harris,15,23,15,21,0,2,1,1,5,3,2,3,0,3,1,31,0.043478260869565216,0.6666666666666666
1,Special Jennings,4,5,2,2,2,3,5,6,0,2,4,2,1,1,2,15,1.0,4.0
2,Tyeasha Moss,3,15,1,4,2,11,2,2,0,1,8,3,0,0,2,10,0.13333333333333333,0.0
3,Ta'Shia Phillips,8,15,8,15,0,0,7,10,13,8,0,0,5,2,3,23,0.4666666666666667,0.0
4,April Phillips,2,8,2,8,0,0,0,0,4,7,5,2,0,5,4,4,0.0,1.0
8,School Totals,36,82,29,56,7,26,15,19,25,25,21,11,7,14,15,94,0.18292682926829268,1.5
