,Idaho ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Connie Ballestero,2,8,1,5,1,3,0,3,0,3,5,0,0,4,2,5,0.0,1.25
1,Ali Forde,7,9,7,9,0,0,2,5,3,5,0,0,2,4,4,16,0.2222222222222222,0.0
2,Stacey Barr,1,7,1,3,0,4,2,2,0,3,2,1,0,5,1,4,0.2857142857142857,0.4
3,Alyssa Charlston,5,10,4,8,1,2,0,0,0,1,1,0,1,3,1,11,0.0,0.3333333333333333
4,Christina Salvatore,2,8,0,2,2,6,0,0,0,1,0,1,1,1,1,6,0.0,0.0
8,School Totals,17,48,13,30,4,18,4,10,4,15,8,4,4,18,10,42,0.08333333333333333,0.4444444444444444
