,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Shoni Schimmel,5,11,5,10,0,1,0,0,1,10,5,2,0,0,1,10,0.0,0.0
1,Antonita Slaughter,4,5,1,2,3,3,0,0,0,5,1,1,0,0,1,11,0.0,0.0
2,Asia Taylor,5,9,5,9,0,0,3,4,4,3,4,0,0,0,1,13,0.3333333333333333,0.0
3,Sara Hammond,8,13,8,12,0,1,0,0,0,1,0,0,0,1,2,16,0.0,0.0
4,Bria Smith,3,4,3,4,0,0,0,2,1,2,0,0,0,2,3,6,0.0,0.0
11,School Totals,39,68,33,54,6,14,4,7,10,30,18,11,1,9,13,88,0.058823529411764705,2.0
