,NC State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kai Crutchfield,5,6,1,1,4,5,0,0,0,0,2,1,1,1,0,14,0.0,2.0
1,Raina Perez,3,5,2,2,1,3,0,0,1,1,4,1,0,1,1,7,0.0,4.0
2,Elissa Cunane,3,7,2,5,1,2,5,7,1,4,3,1,1,2,1,12,0.7142857142857143,1.5
3,Jakia Brown-Turner,4,8,4,7,0,1,2,2,4,6,2,0,0,0,2,10,0.25,0.0
4,Kayla Jones,1,4,1,2,0,2,1,1,1,1,2,1,0,1,0,3,0.25,2.0
13,School Totals,28,52,20,33,8,19,15,18,7,25,17,9,3,15,13,79,0.28846153846153844,1.1333333333333333
