,North Carolina A&T ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Chanin Scott,11,19,10,16,1,3,0,0,1,6,3,3,0,1,4,23,0.0,3.0
1,Deja Winters,0,9,0,3,0,6,2,4,0,3,2,3,0,1,3,2,0.2222222222222222,2.0
2,Jayla Jones-Pack,5,8,5,8,0,0,1,2,2,1,1,0,3,2,3,11,0.125,0.5
3,Sean Kelly Darks,3,5,3,5,0,0,1,1,1,1,1,0,0,1,2,7,0.2,1.0
4,Jasmen Walton,0,1,0,1,0,0,0,0,0,2,2,0,0,1,4,0,0.0,2.0
8,School Totals,24,56,20,42,4,14,6,9,4,16,12,8,3,11,20,58,0.10714285714285714,1.0909090909090908
