,Arizona ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Aari McDonald,12,20,7,14,5,6,4,5,2,9,4,1,0,3,3,33,0.2,1.3333333333333333
1,Trinity Baptiste,4,9,3,7,1,2,3,4,2,8,0,0,2,0,1,12,0.3333333333333333,0.0
2,Sam Thomas,2,6,1,2,1,4,0,0,0,3,1,2,1,0,2,5,0.0,0.0
3,Cate Reese,2,9,2,8,0,1,1,2,4,2,2,0,0,4,5,5,0.1111111111111111,0.5
4,Bendu Yeaney,1,4,1,3,0,1,1,2,0,5,1,1,1,0,3,3,0.25,0.0
8,School Totals,24,61,15,40,9,21,9,13,10,29,9,4,6,8,15,66,0.14754098360655737,1.125
