,Syracuse ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brianna Butler,2,13,1,2,1,11,0,0,5,5,1,2,0,1,2,5,0.0,1.0
1,Alexis Peterson,5,13,4,10,1,3,13,13,0,1,1,1,0,7,3,24,1.0,0.14285714285714285
2,Brittney Sykes,5,6,3,4,2,2,1,1,3,0,2,2,2,1,0,13,0.16666666666666666,2.0
3,Briana Day,4,10,4,10,0,0,3,8,6,6,0,1,3,0,4,11,0.3,0.0
4,Isabella Slim,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,3,0.0,1.0
11,School Totals,25,70,19,40,6,30,17,22,20,21,9,12,6,14,22,73,0.24285714285714285,0.6428571428571429
