,Texas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Celeste Taylor,9,17,7,12,2,5,4,4,2,3,2,1,0,4,4,24,0.23529411764705882,0.5
1,Kyra Lambert,5,8,5,6,0,2,7,10,1,9,4,1,0,1,3,17,0.875,4.0
2,Joanne Allen-Taylor,6,12,3,5,3,7,1,2,0,1,2,1,0,1,3,16,0.08333333333333333,2.0
3,Charli Collier,1,3,0,1,1,2,2,2,1,4,0,0,1,1,4,5,0.6666666666666666,0.0
4,Audrey Warren,1,4,1,3,0,1,0,0,0,1,0,1,0,2,4,2,0.0,0.0
7,School Totals,25,49,19,32,6,17,15,19,7,22,8,4,1,10,21,71,0.30612244897959184,0.8
