,UCLA ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lindsey Corsaro,0,5,0,4,0,1,1,2,0,3,0,1,1,1,3,1,0.2,0.0
1,Natalie Chou,1,5,1,2,0,3,0,0,1,3,1,0,1,0,2,2,0.0,0.0
2,Michaela Onyenwere,8,21,8,16,0,5,5,7,3,2,0,1,0,3,5,21,0.23809523809523808,0.0
3,Charisma Osborne,5,17,4,8,1,9,8,8,1,4,2,0,0,5,4,19,0.47058823529411764,0.4
4,Lauryn Miller,1,4,1,4,0,0,4,4,3,4,0,0,0,1,0,6,1.0,0.0
8,School Totals,21,63,20,44,1,19,19,25,17,19,4,5,4,11,20,62,0.30158730158730157,0.36363636363636365
