,North Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alyssa Ustby,5,13,5,12,0,1,2,4,3,9,4,4,2,3,1,12,0.15384615384615385,1.3333333333333333
1,Deja Kelly,3,10,3,8,0,2,9,10,0,2,2,1,0,1,0,15,0.9,2.0
2,Carlie Littlefield,2,7,1,5,1,2,2,2,1,4,3,1,0,2,1,7,0.2857142857142857,1.5
3,Kennedy Todd-Williams,7,11,6,9,1,2,4,6,1,6,5,3,0,3,1,19,0.36363636363636365,1.6666666666666667
4,Anya Poole,4,5,4,5,0,0,0,0,1,5,0,0,1,2,1,8,0.0,0.0
7,School Totals,21,51,19,42,2,9,19,24,7,30,15,9,3,13,6,63,0.37254901960784315,1.1538461538461537
