,Arizona State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Courtney Ekmark,2,7,0,1,2,6,0,0,0,5,2,0,0,0,2,6,0.0,0.0
1,Robbi Ryan,3,9,2,6,1,3,2,2,0,1,2,3,0,0,1,9,0.2222222222222222,0.0
2,Kianna Ibis,4,10,3,7,1,3,0,0,1,2,0,1,0,1,1,9,0.0,0.0
3,Reili Richardson,0,4,0,3,0,1,0,0,0,1,6,1,0,2,2,0,0.0,3.0
4,Charnea Johnson-Chapman,2,5,2,5,0,0,0,0,3,5,1,1,1,2,1,4,0.0,0.5
10,School Totals,22,62,14,40,8,22,5,10,9,20,16,10,2,7,12,57,0.08064516129032258,2.2857142857142856
