,Miami ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Beatrice Mompremier,3,12,3,12,0,0,0,0,6,16,0,1,2,5,2,6,0.0,0.0
1,Laura Cornelius,7,12,7,10,0,2,1,3,0,2,3,0,0,2,1,15,0.08333333333333333,1.5
2,Mykea Gray,4,12,2,4,2,8,3,3,0,3,2,0,0,1,3,13,0.25,2.0
3,Emese Hof,2,5,2,5,0,0,2,2,3,2,0,1,0,2,4,6,0.4,0.0
4,Endia Banks,4,6,4,4,0,2,0,0,0,3,1,0,0,3,1,8,0.0,0.3333333333333333
9,School Totals,23,56,20,39,3,17,6,8,10,30,7,3,3,15,14,55,0.10714285714285714,0.4666666666666667
