,North Carolina A&T ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kala Green,5,18,3,12,2,6,0,2,0,3,4,7,0,4,3,12,0.0,1.0
1,Aprill McRae,4,10,4,10,0,0,2,2,1,6,0,0,0,3,2,10,0.2,0.0
2,Dana Brown,4,8,1,2,3,6,0,0,0,0,0,1,0,1,0,11,0.0,0.0
3,Christina Carter,1,8,1,6,0,2,0,0,4,0,6,1,0,1,2,2,0.0,6.0
4,Courtney Powell,0,3,0,3,0,0,3,6,3,2,0,2,0,2,3,3,1.0,0.0
13,School Totals,22,67,15,44,7,23,10,23,13,15,13,14,0,18,24,61,0.14925373134328357,0.7222222222222222
