,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Michaela Mabrey,2,5,0,0,2,5,0,0,1,2,6,3,0,3,4,6,0.0,2.0
1,Lindsay Allen,0,0,0,0,0,0,1,2,0,2,10,2,0,2,2,1,0.0,5.0
2,Madison Cable,7,11,6,8,1,3,0,0,1,6,0,1,0,1,0,15,0.0,0.0
3,Brianna Turner,7,8,7,8,0,0,2,2,1,2,2,1,0,2,3,16,0.25,1.0
4,Kathryn Westbeld,6,7,6,7,0,0,0,1,1,6,2,0,1,0,0,12,0.0,0.0
11,School Totals,34,58,28,46,6,12,21,29,11,35,29,9,4,21,21,95,0.3620689655172414,1.380952380952381
