,South Florida ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Elena Tsineke,7,18,5,14,2,4,2,2,2,3,3,0,0,1,3,18,0.1111111111111111,3.0
1,Elisa Pinzan,4,11,2,7,2,4,2,2,0,4,2,3,0,2,0,12,0.18181818181818182,1.0
2,Bethy Mununga,3,7,3,7,0,0,0,0,3,8,0,0,3,3,3,6,0.0,0.0
3,Shae Leverett,4,4,4,4,0,0,0,0,1,5,0,1,0,0,2,8,0.0,0.0
4,Sydni Harvey,3,12,3,7,0,5,4,6,1,3,1,0,0,1,2,10,0.3333333333333333,1.0
9,School Totals,22,58,17,41,5,17,8,10,10,27,7,4,3,8,11,57,0.13793103448275862,0.875
