,Little Rock ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kim Sitzmann,6,10,2,3,4,7,5,8,1,3,3,3,0,3,0,21,0.5,1.0
1,Asriel Rolfe,3,5,1,1,2,4,0,0,0,1,6,2,0,3,1,8,0.0,2.0
2,Shankia Butler,3,8,3,7,0,1,4,5,2,2,4,4,1,1,2,10,0.5,4.0
3,Chastity Reed,5,17,5,17,0,0,4,7,0,10,0,1,1,3,5,14,0.23529411764705882,0.0
4,Britteni Williams,1,2,1,2,0,0,0,2,1,2,1,0,0,1,1,2,0.0,1.0
8,School Totals,20,47,14,34,6,13,17,26,4,25,15,11,2,15,14,63,0.3617021276595745,1.0
